Provinsi,2018(L),2019(L),2020(L),2018(P),2019(P),2020(P),2018(T),2019(T),2020(T)
ACEH,2619.9,2656.1,2691.8,2623.5,2660.2,2696.3,5243.4,5316.3,5388.1
SUMATERA UTARA,7229.4,7312.2,7392.7,7246.5,7327.2,7405.7,14476,14639.4,14798.4
SUMATERA BARAT,2692.6,2727,2760.6,2719.3,2752.5,2785.1,5411.8,5479.5,5545.7
RIAU,3440,3497,3553.2,3277.6,3338.1,3398,6717.6,6835.1,6951.2
JAMBI,1795.2,1813.5,1831.3,1731.9,1752.7,1772.9,3527.1,3566.2,3604.2
SUMATERA SELATAN,4257.1,4308.1,4358,4134.4,4189.1,4242.8,8391.5,8497.2,8600.8
BENGKULU,993.6,1004.5,1015.2,955,967.2,979.1,1948.6,1971.8,1994.3
LAMPUNG,4289.9,4327.8,4364.3,4087.8,4129.8,4170.6,8377.7,8457.6,8534.8
KEP. BANGKA BELITUNG,739.9,748.5,756.9,692.1,702.6,712.9,1432.1,1451.1,1469.8
KEP. RIAU,1111,1144.7,1179,1063.8,1096.9,1130.5,2174.8,2241.6,2309.5
DKI JAKARTA,5212.6,5241.1,5267.8,5215.4,5262.9,5308.6,10428,10504.1,10576.4
JAWA BARAT,24576.5,24845.4,25111.2,23899,24177.7,24454,48475.5,49023.2,49565.2
JAWA TENGAH,17048.2,17144.9,17237.3,17310.2,17407.6,17500.9,34358.5,34552.5,34738.2
DI YOGYAKARTA,1887.3,1911.3,1935.4,1931,1957.3,1983.8,3818.3,3868.6,3919.2
JAWA TIMUR,19510,19619.2,19722.2,20011.9,20125.6,20233.7,39521.9,39744.8,39955.9
BANTEN,6381.1,6470.2,6557.9,6149.7,6244.1,6337.4,12530.8,12714.3,12895.3
BALI,2169.3,2195.4,2221.4,2139.9,2166.6,2193.1,4309.2,4362,4414.4
NUSA TENGGARA BARAT,2480.8,2522.6,2563.9,2596.9,2629.8,2662,5077.7,5152.4,5225.9
NUSA TENGGARA TIMUR,2655.5,2693.7,2731.6,2704.7,2743.5,2781.8,5360.3,5437.2,5513.4
KALIMANTAN BARAT,2534.6,2563.4,2591.4,2450.5,2482.3,2513.5,4985.1,5045.7,5104.9
KALIMANTAN TENGAH,1359.1,1377.2,1394.9,1253.5,1272.6,1291.4,2612.6,2649.8,2686.3
KALIMANTAN SELATAN,2105.2,2131.4,2156.7,2057.1,2084.9,2111.9,4162.4,4216.3,4268.6
KALIMANTAN TIMUR,1861.5,1882.5,1902.9,1712.3,1737.2,1761.8,3573.8,3619.7,3664.7
KALIMANTAN UTARA,361.8,368,374.1,321,327.6,334.2,682.8,695.6,708.4
SULAWESI UTARA,1261.4,1270.7,1279.6,1213,1223.4,1233.4,2474.4,2494.1,2512.9
SULAWESI TENGAH,1528.2,1546.8,1565.1,1473.8,1495.3,1516.6,3001.9,3042.1,3081.7
SULAWESI SELATAN,4277.1,4313.4,4348.5,4471,4506.2,4540.3,8748.1,8819.5,8888.8
SULAWESI TENGGARA,1314.6,1333.8,1352.9,1309,1329.8,1350.6,2623.6,2663.7,2703.5
GORONTALO,583.8,588.8,593.5,582.3,587.6,592.8,1166.1,1176.4,1186.3
SULAWESI BARAT,673.3,682.8,692.2,666.8,676.4,686,1340.1,1359.2,1378.1
MALUKU,882.2,891.4,900.4,867.3,877.1,886.7,1749.5,1768.5,1787.1
MALUKU UTARA,621.2,629.3,637.3,597.5,606.3,615,1218.8,1235.7,1252.3
PAPUA BARAT,494.9,506.4,518.1,446.5,457.2,468,941.4,963.6,986
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,1734,1756.1,1777.7,1566.2,1591,1615.4,3300.2,3347.1,3393.1
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,132683,134025.6,135337,131478.7,132886.3,134266.4,264161.6,266911.9,269603.4
